,S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
189,3284,2015-12-29,0,182,0.91,100,5,1,1,0,8,2,2,0,0,1,1,1,16,0,0,1,4,0,0,1,3,1,0,1,6,0,0,0,10,0,0,0,17,2,2,0,37,6,6,1
190,3285,2015-12-29,0,130,0.65,100,1,5,5,0,4,6,6,0,0,0,0,1,6,10,10,1,1,3,3,1,2,2,0,1,3,3,3,0,2,8,8,0,15,4,4,0,19,24,24,1
191,3286,2015-12-29,0,179,0.895,100,6,0,0,0,8,2,2,0,0,3,3,1,16,0,0,1,4,0,0,1,2,2,0,1,6,0,0,0,10,0,0,0,17,2,2,0,36,7,7,1
192,3288,2015-12-29,0,183,0.915,100,6,0,0,0,6,4,4,0,0,2,2,3,16,0,0,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,18,1,1,0,42,1,1,1
193,3289,2015-12-29,0,181,0.905,100,5,1,1,0,9,1,1,0,0,3,3,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,8,2,2,0,18,1,1,0,39,4,4,1
194,3290,2015-12-29,0,134,0.67,100,1,5,5,0,5,5,5,0,0,3,3,1,10,6,6,1,3,1,1,1,3,1,0,1,2,4,4,0,5,5,5,0,12,7,7,0,19,24,24,1
195,3291,2015-12-29,0,183,0.915,100,5,1,1,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,9,1,1,0,19,0,0,0,41,2,2,1
196,3293,2015-12-29,0,176,0.88,100,4,2,2,0,7,3,3,0,0,3,3,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,38,5,5,1
197,3294,2015-12-29,0,180,0.9,100,5,1,1,0,7,3,3,0,0,3,3,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,41,2,2,1
198,3295,2015-12-29,0,179,0.895,100,5,1,1,0,7,3,3,0,0,3,3,1,13,3,3,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,41,2,2,1
199,3306,2015-12-29,0,183,0.915,100,6,0,0,0,7,3,3,0,0,1,1,1,15,1,1,1,4,0,0,3,3,1,0,1,6,0,0,0,10,0,0,0,18,1,1,0,40,3,3,1
